bitrate 600 stable_bitrate 600 link  600 loss 0 rtt 0
bitrate 600 stable_bitrate 600 link  600 loss 0 rtt 0
bitrate 600 stable_bitrate 600 link  600 loss 0 rtt 0
bitrate 3120 stable_bitrate 600 link  3120 loss 0 rtt 0
bitrate 3113 stable_bitrate 593 link  3113 loss 0 rtt 0
bitrate 3128 stable_bitrate 595 link  3128 loss 0 rtt 0
bitrate 3141 stable_bitrate 597 link  3141 loss 0 rtt 0
bitrate 3169 stable_bitrate 598 link  3169 loss 0 rtt 0
bitrate 3197 stable_bitrate 598 link  3197 loss 0 rtt 0
bitrate 3212 stable_bitrate 598 link  3212 loss 0 rtt 0
bitrate 3228 stable_bitrate 598 link  3228 loss 0 rtt 0
bitrate 3260 stable_bitrate 612 link  3260 loss 0 rtt 0
bitrate 3278 stable_bitrate 613 link  3278 loss 0 rtt 0
bitrate 3295 stable_bitrate 614 link  3295 loss 0 rtt 0
bitrate 3314 stable_bitrate 616 link  3314 loss 0 rtt 0
bitrate 3333 stable_bitrate 618 link  3333 loss 0 rtt 0
bitrate 3353 stable_bitrate 620 link  3353 loss 0 rtt 0
bitrate 3374 stable_bitrate 623 link  3374 loss 0 rtt 0
bitrate 3396 stable_bitrate 627 link  3396 loss 0 rtt 0
bitrate 3419 stable_bitrate 630 link  3419 loss 0 rtt 0
bitrate 3442 stable_bitrate 635 link  3442 loss 0 rtt 0
bitrate 3467 stable_bitrate 639 link  3467 loss 0 rtt 0
bitrate 3492 stable_bitrate 645 link  3492 loss 0 rtt 0
bitrate 3518 stable_bitrate 650 link  3518 loss 0 rtt 0
bitrate 3546 stable_bitrate 656 link  3546 loss 0 rtt 0
bitrate 3574 stable_bitrate 662 link  3574 loss 0 rtt 0
bitrate 3604 stable_bitrate 669 link  3604 loss 0 rtt 0
bitrate 3634 stable_bitrate 677 link  3634 loss 0 rtt 0
bitrate 3666 stable_bitrate 686 link  3666 loss 0 rtt 0
bitrate 3699 stable_bitrate 695 link  3699 loss 0 rtt 0
bitrate 3735 stable_bitrate 704 link  3735 loss 0 rtt 0
bitrate 3771 stable_bitrate 714 link  3771 loss 0 rtt 0
bitrate 3808 stable_bitrate 724 link  3808 loss 0 rtt 0
bitrate 3808 stable_bitrate 732 link  3808 loss 0 rtt 1
bitrate 3848 stable_bitrate 734 link  3848 loss 0 rtt 1
bitrate 3889 stable_bitrate 745 link  3889 loss 0 rtt 1
bitrate 3931 stable_bitrate 756 link  3931 loss 0 rtt 1
bitrate 3975 stable_bitrate 767 link  3975 loss 0 rtt 1
bitrate 4020 stable_bitrate 778 link  4020 loss 0 rtt 1
bitrate 4178 stable_bitrate 790 link  4178 loss 0 rtt 1
bitrate 4269 stable_bitrate 802 link  4269 loss 0 rtt 1
bitrate 4331 stable_bitrate 814 link  4331 loss 0 rtt 1
bitrate 4385 stable_bitrate 827 link  4385 loss 0 rtt 1
bitrate 4440 stable_bitrate 839 link  4440 loss 0 rtt 1
bitrate 4497 stable_bitrate 853 link  4497 loss 0 rtt 1
bitrate 4674 stable_bitrate 866 link  4674 loss 0 rtt 1
bitrate 4861 stable_bitrate 881 link  4861 loss 0 rtt 1
bitrate 4924 stable_bitrate 895 link  4924 loss 0 rtt 1
bitrate 4992 stable_bitrate 909 link  4992 loss 0 rtt 1
bitrate 5062 stable_bitrate 923 link  5062 loss 0 rtt 1
bitrate 5134 stable_bitrate 938 link  5134 loss 0 rtt 1
bitrate 5336 stable_bitrate 953 link  5336 loss 0 rtt 1
bitrate 5456 stable_bitrate 969 link  5456 loss 0 rtt 1
